instance,element_id,MISES,S11,S22,S33,S12,S13,S23
PART-1-1,1,31.5791,21.0228,-12.8476,-2.00689,5.75498,-0.0506559,0.331725
PART-1-1,2,31.5791,21.0228,-12.8476,-2.00689,5.75498,0.0506559,-0.331725
PART-1-1,3,17.5473,-5.67448,-10.7428,0.928548,-8.26087,-0.000166524,-0.377116
PART-1-1,4,17.5473,-5.67448,-10.7428,0.928548,-8.26087,0.000166529,0.377116
PART-1-1,5,3.23642,-1.65907,-1.60491,-0.179045,-1.66159,0.0288909,0.159173
PART-1-1,6,3.23642,-1.65907,-1.60491,-0.179045,-1.66159,-0.0288909,-0.159173
PART-1-1,7,37.6347,42.6799,15.813,2.34735,7.09493,0.0726551,-0.365803
PART-1-1,8,37.6347,42.6799,15.813,2.34735,7.09493,-0.0726551,0.365803
PART-1-1,9,11.0389,-1.50195,8.68288,-1.06909,-2.70144,-0.0237148,0.388559
PART-1-1,10,11.0389,-1.50195,8.68288,-1.06909,-2.70144,0.0237148,-0.388559
PART-1-1,11,12.8063,-9.40285,-1.75752,0.116661,-5.40456,-0.0326484,-0.162217
PART-1-1,12,12.8063,-9.40285,-1.75752,0.116661,-5.40456,0.0326484,0.162217
PART-1-1,13,40.2452,36.8741,-5.31361,-1.03423,-0.836143,-0.0187979,-0.0079436
PART-1-1,14,40.2452,36.8741,-5.31361,-1.03423,-0.836143,0.0187979,0.0079436
PART-1-1,15,11.3278,12.5149,4.20452,0.455836,2.16248,0.00402075,-0.0827253
PART-1-1,16,11.3278,12.5149,4.20452,0.455836,2.16248,-0.00402075,0.0827253
PART-1-1,17,20.1235,-16.4393,5.8444,0.0990716,-1.06542,0.0299957,0.0341079
PART-1-1,18,20.1235,-16.4393,5.8444,0.0990716,-1.06542,-0.0299957,-0.0341079
PART-1-1,19,33.6144,35.3219,3.15524,0.540335,-1.19414,-0.0246607,0.0433075
PART-1-1,20,33.6144,35.3219,3.15524,0.540335,-1.19414,0.0246606,-0.0433075
PART-1-1,21,14.1185,12.6099,-1.94262,-0.128446,-1.88558,0.0122465,0.0176608
PART-1-1,22,14.1185,12.6099,-1.94262,-0.128446,-1.88558,-0.0122465,-0.0176608
PART-1-1,23,15.1002,-16.1186,-2.81313,-0.263732,1.87595,-0.0101932,0.00738607
PART-1-1,24,15.1002,-16.1186,-2.81313,-0.263732,1.87595,0.0101932,-0.00738607
PART-1-1,25,38.9736,37.9478,-1.68806,-0.276515,-0.791198,0.0454853,-0.0697456
PART-1-1,26,38.9736,37.9478,-1.68806,-0.276515,-0.791198,-0.0454853,0.0697456
PART-1-1,27,9.93227,9.97106,0.277625,0.00300714,0.805811,-0.0118716,0.0225981
PART-1-1,28,9.93227,9.97106,0.277625,0.00300714,0.805811,0.0118716,-0.0225981
PART-1-1,29,15.6044,-15.1275,0.675232,0.259002,-0.239598,-0.0146236,-0.0261215
PART-1-1,30,15.6044,-15.1275,0.675232,0.259002,-0.239598,0.0146236,0.0261215
PART-1-1,31,35.8163,36.1687,0.537594,0.201326,-0.612128,-0.0514705,0.0405905
PART-1-1,32,35.8163,36.1687,0.537594,0.201326,-0.612128,0.0514705,-0.0405905
PART-1-1,33,11.2452,11.0995,-0.224644,0.0286548,-0.58361,0.00768309,-0.0117234
PART-1-1,34,11.2452,11.0995,-0.224644,0.0286548,-0.58361,-0.00768309,0.0117234
PART-1-1,35,15.3056,-15.404,-0.00624922,-0.234796,0.459771,0.0294468,0.0185706
PART-1-1,36,15.3056,-15.404,-0.00624922,-0.234796,0.459771,-0.0294468,-0.0185706
PART-1-1,37,37.1736,37.0357,-0.0698014,-0.178372,-0.580677,0.0483756,-0.0284264
PART-1-1,38,37.1736,37.0357,-0.0698014,-0.178372,-0.580677,-0.0483756,0.0284264
PART-1-1,39,10.5175,10.6121,0.180635,0.0141852,-0.113502,-0.00450096,0.00837089
PART-1-1,40,10.5175,10.6121,0.180635,0.0141852,-0.113502,0.00450096,-0.00837089
PART-1-1,41,15.2674,-15.311,-0.235716,0.133622,0.20058,-0.0331493,-0.012979
PART-1-1,42,15.2674,-15.311,-0.235716,0.133622,0.20058,0.0331493,0.012979
PART-1-1,43,36.6847,36.7502,0.0275165,0.141215,-0.676948,-0.0407418,0.00771532
PART-1-1,44,36.6847,36.7502,0.0275165,0.141215,-0.676948,0.0407418,-0.00771532
PART-1-1,45,10.8852,10.819,-0.112912,-0.013094,-0.143678,0.00292789,0.00392787
PART-1-1,46,10.8852,10.819,-0.112912,-0.013094,-0.143678,-0.00292789,-0.00392787
PART-1-1,47,15.455,-15.3663,0.254624,-0.0955756,0.250602,0.0296181,0.00510483
PART-1-1,48,15.455,-15.3663,0.254624,-0.0955756,0.250602,-0.0296181,-0.00510483
PART-1-1,49,36.8292,36.7543,-0.00529674,-0.118642,-0.559037,0.0314157,-0.00685672
PART-1-1,50,36.8292,36.7543,-0.00529674,-0.118642,-0.559037,-0.0314157,0.00685672
PART-1-1,51,10.7394,10.8018,0.0936037,0.0469756,-0.236954,-0.00219339,-0.00235799
PART-1-1,52,10.7394,10.8018,0.0936037,0.0469756,-0.236954,0.00219338,0.00235799
PART-1-1,53,15.27,-15.3615,-0.217059,0.0158698,0.280515,-0.0228667,-0.00389967
PART-1-1,54,15.27,-15.3615,-0.217059,0.0158698,0.280515,0.0228667,0.00389967
PART-1-1,55,36.8008,36.8477,0.0532312,0.0736383,-0.63681,-0.0226731,-0.00208186
PART-1-1,56,36.8008,36.8477,0.0532312,0.0736383,-0.63681,0.0226731,0.00208186
PART-1-1,57,10.8071,10.7471,-0.0891248,-0.0263036,-0.12485,0.00205291,0.00794565
PART-1-1,58,10.8071,10.7471,-0.0891248,-0.0263036,-0.12485,-0.00205291,-0.00794565
PART-1-1,59,15.4167,-15.3449,0.143435,-0.0109922,0.226033,0.0155473,0.000876202
PART-1-1,60,15.4167,-15.3449,0.143435,-0.0109922,0.226033,-0.0155473,-0.000876202
PART-1-1,61,36.7989,36.7417,-0.0333947,-0.0569585,-0.541966,0.0150962,-0.00318905
PART-1-1,62,36.7989,36.7417,-0.0333947,-0.0569585,-0.541966,-0.0150962,0.00318905
PART-1-1,63,10.754,10.8098,0.0764746,0.0468928,-0.203706,-0.00184142,-0.00300486
PART-1-1,64,10.754,10.8098,0.0764746,0.0468928,-0.203706,0.00184142,0.00300486
PART-1-1,65,15.2941,-15.3635,-0.114315,-0.0375704,0.255111,-0.00931703,-0.00251497
PART-1-1,66,15.2941,-15.3635,-0.114315,-0.0375704,0.255111,0.00931703,0.00251497
PART-1-1,67,36.8086,36.8368,0.0607344,0.0244173,-0.5937,-0.00939238,-0.00256942
PART-1-1,68,36.8086,36.8368,0.0607344,0.0244173,-0.5937,0.00939238,0.00256942
PART-1-1,69,10.8018,10.7557,-0.0670819,-0.0193772,-0.143037,0.00168564,0.00704448
PART-1-1,70,10.8018,10.7557,-0.0670819,-0.0193772,-0.143037,-0.00168564,-0.00704448
PART-1-1,71,15.3987,-15.3476,0.07386,0.0181192,0.227406,0.00466218,0.000896062
PART-1-1,72,15.3987,-15.3476,0.07386,0.0181192,0.227406,-0.00466217,-0.000896062
PART-1-1,73,36.7922,36.7558,-0.0275069,-0.0225724,-0.527636,0.00519328,-0.00382552
PART-1-1,74,36.7922,36.7558,-0.0275069,-0.0225724,-0.527636,-0.00519329,0.00382552
PART-1-1,75,10.7599,10.8017,0.0538999,0.0382349,-0.176133,-0.00130876,-0.00180887
PART-1-1,76,10.7599,10.8017,0.0538999,0.0382349,-0.176133,0.00130876,0.00180887
PART-1-1,77,15.3072,-15.3618,-0.0698271,-0.0501279,0.234334,-0.00170459,-0.00297268
PART-1-1,78,15.3072,-15.3618,-0.0698271,-0.0501279,0.234334,0.00170459,0.00297268
PART-1-1,79,36.8165,36.8292,0.0474796,0.00283378,-0.551893,-0.00262304,-0.00164743
PART-1-1,80,36.8165,36.8292,0.0474796,0.00283378,-0.551893,0.00262303,0.00164743
PART-1-1,81,10.7942,10.7612,-0.0481772,-0.0115337,-0.147107,0.00102461,0.00598372
PART-1-1,82,10.7942,10.7612,-0.0481772,-0.0115337,-0.147107,-0.00102461,-0.00598372
PART-1-1,83,15.3879,-15.3494,0.046646,0.0208034,0.220657,8.13844e-05,0.00137541
PART-1-1,84,15.3879,-15.3494,0.046646,0.0208034,0.220657,-8.13809e-05,-0.00137541
PART-1-1,85,36.785,36.7607,-0.0168591,-0.0104552,-0.510917,0.00102016,-0.00464132
PART-1-1,86,36.785,36.7607,-0.0168591,-0.0104552,-0.510917,-0.00102017,0.00464132
PART-1-1,87,10.7674,10.7995,0.0389374,0.0322591,-0.159061,-0.000616552,-0.00102882
PART-1-1,88,10.7674,10.7995,0.0389374,0.0322591,-0.159061,0.00061655,0.00102882
PART-1-1,89,15.3161,-15.3615,-0.052071,-0.0480742,0.219216,0.000462871,-0.00332315
PART-1-1,90,15.3161,-15.3615,-0.052071,-0.0480742,0.219216,-0.000462868,0.00332315
PART-1-1,91,36.8216,36.8286,0.0386543,-0.0031823,-0.512194,-0.000345803,-0.00105783
PART-1-1,92,36.8216,36.8286,0.0386543,-0.0031823,-0.512194,0.000345796,0.00105783
PART-1-1,93,10.7883,10.7622,-0.0386335,-0.00763156,-0.145697,0.000358533,0.00548145
PART-1-1,94,10.7883,10.7622,-0.0386335,-0.00763156,-0.145697,-0.000358535,-0.00548145
PART-1-1,95,15.3812,-15.3499,0.0364125,0.0175959,0.21101,-0.000390859,0.00158052
PART-1-1,96,15.3812,-15.3499,0.0364125,0.0175959,0.21101,0.000390863,-0.00158052
PART-1-1,97,36.7824,36.7617,-0.013583,-0.0080842,-0.492614,-0.000100639,-0.00495743
PART-1-1,98,36.7824,36.7617,-0.013583,-0.0080842,-0.492614,0.000100632,0.00495743
PART-1-1,99,10.7705,10.7997,0.0338206,0.0303582,-0.144183,8.31972e-07,-0.000785788
PART-1-1,100,10.7705,10.7997,0.0338206,0.0303582,-0.144183,-8.34215e-07,0.000785788
PART-1-1,101,15.3197,-15.3618,-0.046658,-0.0459476,0.205129,-5.07415e-05,-0.00340193
PART-1-1,102,15.3197,-15.3618,-0.046658,-0.0459476,0.205129,5.0745e-05,0.00340193
PART-1-1,103,36.8215,36.8296,0.0376164,-0.00318963,-0.473338,0.000389507,-0.0010307
PART-1-1,104,36.8215,36.8296,0.0376164,-0.00318963,-0.473338,-0.000389514,0.0010307
PART-1-1,105,10.7883,10.7622,-0.0387112,-0.00763436,-0.143668,-0.000237356,0.0054837
PART-1-1,106,10.7883,10.7622,-0.0387112,-0.00763436,-0.143668,0.000237354,-0.0054837
PART-1-1,107,15.3813,-15.3501,0.0367576,0.0176115,0.201187,0.000442991,0.00155334
PART-1-1,108,15.3813,-15.3501,0.0367576,0.0176115,0.201187,-0.000442988,-0.00155334
PART-1-1,109,36.785,36.7617,-0.0178348,-0.0104359,-0.474329,-0.00120614,-0.00468847
PART-1-1,110,36.785,36.7617,-0.0178348,-0.0104359,-0.474329,0.00120614,0.00468847
PART-1-1,111,10.7674,10.8003,0.0381708,0.0322603,-0.12923,0.000603138,-0.00103291
PART-1-1,112,10.7674,10.8003,0.0381708,0.0322603,-0.12923,-0.00060314,0.00103291
PART-1-1,113,15.316,-15.3622,-0.0514616,-0.0480987,0.190923,-0.000552372,-0.003277
PART-1-1,114,15.316,-15.3622,-0.0514616,-0.0480987,0.190923,0.000552376,0.003277
PART-1-1,115,36.8164,36.8323,0.0442837,0.00279207,-0.433609,0.00263614,-0.00159528
PART-1-1,116,36.8164,36.8323,0.0442837,0.00279207,-0.433609,-0.00263615,0.00159528
PART-1-1,117,10.7942,10.7614,-0.0483207,-0.0115228,-0.142394,-0.000872603,0.00598866
PART-1-1,118,10.7942,10.7614,-0.0483207,-0.0115228,-0.142394,0.000872601,-0.00598866
PART-1-1,119,15.3879,-15.3501,0.0476007,0.0208229,0.191779,-5.34391e-05,0.00132728
PART-1-1,120,15.3879,-15.3501,0.0476007,0.0208229,0.191779,5.34426e-05,-0.00132728
PART-1-1,121,36.7922,36.7578,-0.0293007,-0.0224949,-0.457572,-0.00533406,-0.00386048
PART-1-1,122,36.7922,36.7578,-0.0293007,-0.0224949,-0.457572,0.00533405,0.00386048
PART-1-1,123,10.76,10.8034,0.0521388,0.0381969,-0.111985,0.0012478,-0.00181204
PART-1-1,124,10.76,10.8034,0.0521388,0.0381969,-0.111985,-0.0012478,0.00181204
PART-1-1,125,15.3071,-15.3633,-0.0684148,-0.0501221,0.175409,0.00165144,-0.00294939
PART-1-1,126,15.3071,-15.3633,-0.0684148,-0.0501221,0.175409,-0.00165143,0.00294939
PART-1-1,127,36.8086,36.8421,0.055156,0.0242849,-0.391995,0.00934835,-0.00258244
PART-1-1,128,36.8086,36.8421,0.055156,0.0242849,-0.391995,-0.00934836,0.00258244
PART-1-1,129,10.8017,10.7556,-0.0668301,-0.0192879,-0.146613,-0.0014689,0.00704163
PART-1-1,130,10.8017,10.7556,-0.0668301,-0.0192879,-0.146613,0.0014689,-0.00704163
PART-1-1,131,15.3987,-15.3487,0.0750601,0.0180599,0.185647,-0.0046813,0.00093444
PART-1-1,132,15.3987,-15.3487,0.0750601,0.0180599,0.185647,0.0046813,-0.00093444
PART-1-1,133,36.7987,36.7445,-0.0357236,-0.0567507,-0.442651,-0.0151783,-0.00309192
PART-1-1,134,36.7987,36.7445,-0.0357236,-0.0567507,-0.442651,0.0151783,0.00309192
PART-1-1,135,10.7542,10.813,0.0729268,0.0467226,-0.0843169,0.0017026,-0.00298921
PART-1-1,136,10.7542,10.813,0.0729268,0.0467226,-0.0843169,-0.00170261,0.00298921
PART-1-1,137,15.2942,-15.3663,-0.111513,-0.0374244,0.153603,0.00931583,-0.00266021
PART-1-1,138,15.2942,-15.3663,-0.111513,-0.0374244,0.153603,-0.00931582,0.00266021
PART-1-1,139,36.8011,36.8552,0.0449927,0.0733293,-0.349905,0.0225917,-0.00230361
PART-1-1,140,36.8011,36.8552,0.0449927,0.0733293,-0.349905,-0.0225918,0.00230361
PART-1-1,141,10.8066,10.746,-0.0874206,-0.0260093,-0.16482,-0.00175808,0.00791035
PART-1-1,142,10.8066,10.746,-0.0874206,-0.0260093,-0.16482,0.00175808,-0.00791035
PART-1-1,143,15.4163,-15.3458,0.144083,-0.011265,0.188696,-0.015609,0.00117518
PART-1-1,144,15.4163,-15.3458,0.144083,-0.011265,0.188696,0.015609,-0.00117518
PART-1-1,145,36.8286,36.758,-0.00803427,-0.118208,-0.424601,-0.0315386,-0.0064752
PART-1-1,146,36.8286,36.758,-0.00803427,-0.118208,-0.424601,0.0315386,0.0064752
PART-1-1,147,10.7402,10.8068,0.0875738,0.0465093,-0.050811,0.00201347,-0.00229952
PART-1-1,148,10.7402,10.8068,0.0875738,0.0465093,-0.0508109,-0.00201347,0.00229952
PART-1-1,149,15.2706,-15.3656,-0.212172,0.0163104,0.125549,0.0228678,-0.00438658
PART-1-1,150,15.2706,-15.3656,-0.212172,0.0163104,0.125549,-0.0228678,0.00438658
PART-1-1,151,36.6854,36.7598,0.0164217,0.14063,-0.308546,0.0408625,0.00715435
PART-1-1,152,36.6854,36.7598,0.0164217,0.14063,-0.308546,-0.0408625,-0.00715435
PART-1-1,153,10.8841,10.8189,-0.11123,-0.0123967,-0.148112,-0.00268533,0.00385409
PART-1-1,154,10.8841,10.8189,-0.11123,-0.0123967,-0.148112,0.00268533,-0.00385409
PART-1-1,155,15.4539,-15.3684,0.255549,-0.0962234,0.167529,-0.0295954,0.00577602
PART-1-1,156,15.4539,-15.3684,0.255549,-0.0962234,0.167529,0.0295954,-0.00577602
PART-1-1,157,37.1727,37.0405,-0.0727502,-0.177633,-0.411507,-0.0490197,-0.0277043
PART-1-1,158,37.1727,37.0405,-0.0727502,-0.177633,-0.411507,0.0490197,0.0277043
PART-1-1,159,10.519,10.6106,0.179877,0.0132159,-0.167293,0.00457,0.00843356
PART-1-1,160,10.519,10.6106,0.179877,0.0132159,-0.167293,-0.00457,-0.00843356
PART-1-1,161,15.2689,-15.3109,-0.233685,0.134499,0.203778,0.0329137,-0.0137591
